id,title,url,source,published_at,category,status,snippet,content,content_source,summary,sentiment,method,query,collected_at
42,Trump Thought Opening the Strait of Hormuz Was Imminent. Iran Had Other Plans. - WSJ,https://www.wsj.com/world/middle-east/trump-strait-of-hormuz-opening-iran-negotiations-b6a43ad6,WSJ,2026-08-09,politics,unsummarized,Trump Thought Opening the Strait of Hormuz Was Imminent. Iran Had Other Plans.&nbsp;&nbsp;WSJ,Trump Thought Opening the Strait of Hormuz Was Imminent. Iran Had Other Plans.&nbsp;&nbsp;WSJ,snippet,,,rss,Trump,2026-08-09T15:31:00.427726+00:00
45,South Carolina’s Senate race tests Trump — again - Politico,https://www.politico.com/news/2026/08/09/south-carolina-senate-darline-graham-trump-01029927,Politico,2026-08-09,politics,unsummarized,South Carolina’s Senate race tests Trump — again&nbsp;&nbsp;Politico,South Carolina’s Senate race tests Trump — again&nbsp;&nbsp;Politico,snippet,,,rss,Trump,2026-08-09T15:31:05.611790+00:00
46,Trump Crypto Took $100 Million From a Businessman With Red Flags - The New York Times,https://www.nytimes.com/2026/08/09/us/politics/bobby-zhou-trump-crypto.html,The New York Times,2026-08-09,politics,unsummarized,Trump Crypto Took $100 Million From a Businessman With Red Flags&nbsp;&nbsp;The New York Times,Trump Crypto Took $100 Million From a Businessman With Red Flags&nbsp;&nbsp;The New York Times,snippet,,,rss,Trump,2026-08-09T15:31:08.536092+00:00
48,Trump posts examples of alleged Reflecting Pool vandalism amid push for Pirro to revisit decision - The Hill,https://thehill.com/homenews/administration/6019003-trump-lincoln-memorial-vandalism/,The Hill,2026-08-09,politics,unsummarized,Trump posts examples of alleged Reflecting Pool vandalism amid push for Pirro to revisit decision&nbsp;&nbsp;The Hill,Trump posts examples of alleged Reflecting Pool vandalism amid push for Pirro to revisit decision&nbsp;&nbsp;The Hill,snippet,,,rss,Trump,2026-08-09T15:31:14.654312+00:00
50,"Blanche as AG faces pressure from Trump, skeptical courts, low staff morale - The Washington Post",https://www.washingtonpost.com/politics/2026/08/09/todd-blanches-next-challenges-trumps-attorney-general/,The Washington Post,2026-08-09,politics,unsummarized,"Blanche as AG faces pressure from Trump, skeptical courts, low staff morale&nbsp;&nbsp;The Washington Post","Blanche as AG faces pressure from Trump, skeptical courts, low staff morale&nbsp;&nbsp;The Washington Post",snippet,,,rss,Trump,2026-08-09T15:31:20.728785+00:00
51,"As the Climate Warms, Beavers are Coming for Canada’s Arctic - The New York Times",https://www.nytimes.com/2026/08/09/world/canada/arctic-beavers-canada-climate-umiujaq-quebec.html,The New York Times,2026-08-09,environment,unsummarized,"As the Climate Warms, Beavers are Coming for Canada’s Arctic&nbsp;&nbsp;The New York Times","As the Climate Warms, Beavers are Coming for Canada’s Arctic&nbsp;&nbsp;The New York Times",snippet,,,rss,climate,2026-08-09T15:32:16.639786+00:00
53,How parents are failing to protect their children from climate hysteria - The Telegraph,https://www.telegraph.co.uk/news/2026/08/09/parents-failing-to-protect-children-from-climate-hysteria/,The Telegraph,2026-08-09,environment,unsummarized,How parents are failing to protect their children from climate hysteria&nbsp;&nbsp;The Telegraph,How parents are failing to protect their children from climate hysteria&nbsp;&nbsp;The Telegraph,snippet,,,rss,climate,2026-08-09T15:32:20.036546+00:00
62,Move 37 Is the Moment AI Changes Everything. It’s Suddenly Happening Everywhere. - WSJ,https://www.wsj.com/tech/ai/move-37-ai-demis-hassabis-google-deepmind-alphago-ec832a41,WSJ,2026-08-09,technology,unsummarized,Move 37 Is the Moment AI Changes Everything. It’s Suddenly Happening Everywhere.&nbsp;&nbsp;WSJ,Move 37 Is the Moment AI Changes Everything. It’s Suddenly Happening Everywhere.&nbsp;&nbsp;WSJ,snippet,,,rss,AI,2026-08-09T15:34:47.571308+00:00
64,What Happens to Your Company When You’re No Longer There? AI May Have the Answer - inc.com,https://www.inc.com/heather-wilde/what-happens-to-your-company-when-youre-no-longer-there-ai-may-have-an-answer/91384175,inc.com,2026-08-09,technology,unsummarized,What Happens to Your Company When You’re No Longer There? AI May Have the Answer&nbsp;&nbsp;inc.com,What Happens to Your Company When You’re No Longer There? AI May Have the Answer&nbsp;&nbsp;inc.com,snippet,,,rss,AI,2026-08-09T15:34:52.984238+00:00
66,Opinion | Universities are fighting AI cheating. But there’s a deeper problem. - The Washington Post,https://www.washingtonpost.com/opinions/2026/08/09/university-fight-against-ai-cheating-doesnt-go-far-enough/,The Washington Post,2026-08-09,technology,unsummarized,Opinion | Universities are fighting AI cheating. But there’s a deeper problem.&nbsp;&nbsp;The Washington Post,Opinion | Universities are fighting AI cheating. But there’s a deeper problem.&nbsp;&nbsp;The Washington Post,snippet,,,rss,AI,2026-08-09T15:34:58.597875+00:00
